	is_empowering	power	agency	sentiment	concreteness	anger_count	anger_binary	anger_normalized	social_count	social_binary	social_normalized	relig_count	relig_binary	relig_normalized	sexual_count	sexual_binary	sexual_normalized	humans_count	humans_binary	humans_normalized
kurtosis	0.0	2.9820090953550804	3.103947960963875	3.0561379143512726	2.880314683930392	0.0	0.0	0.0	3.349548161975339	0.0	2.9773093628122407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jarque_bera	67961.25	31.035799706847605	1645.929740108066	748.3614571190577	745.2839965944839	67961.25	67961.25	67961.25	24554.999307200247	67961.25	15909.954379250616	67961.25	67961.25	67961.25	67961.25	67961.25	67961.25	67961.25	67961.25	67961.25
jarque_bera_pval	0.0	1.8224756016884884e-07	0.0	3.128775138783614e-163	1.4575934703599772e-162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mode	1.0	0.504	0.413	0.625	2.52	0.0	0.0	0.0	3.0	1.0	0.02564102564102564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mode_freq	1.0	0.0006566241792197759	0.0006014456767643327	0.0005352314738178006	0.00047453512111681286	1.0	1.0	1.0	0.18221045080836507	1.0	0.004033548529492909	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
median	1.0	0.5111428571428572	0.427875	0.61175	2.589655172413793	0.0	0.0	0.0	3.0	1.0	0.02027027027027027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1%	1.0	0.35654048951048956	0.3003096666666667	0.4286	2.0926741025641027	0.0	0.0	0.0	1.0	1.0	0.004166666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5%	1.0	0.4007921428571429	0.3368391025641026	0.48527857142857145	2.2305882352941175	0.0	0.0	0.0	1.0	1.0	0.005813953488372093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10%	1.0	0.42514285714285716	0.35637499999999994	0.5151000000000001	2.3057142857142856	0.0	0.0	0.0	1.0	1.0	0.006993006993006993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25%	1.0	0.4661818181818182	0.3897777777777778	0.562111111111111	2.4366666666666665	0.0	0.0	0.0	2.0	1.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50%	1.0	0.5111428571428572	0.427875	0.61175	2.589655172413793	0.0	0.0	0.0	3.0	1.0	0.02027027027027027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75%	1.0	0.5558181818181818	0.46837500000000004	0.65975	2.7504125000000004	0.0	0.0	0.0	5.0	1.0	0.030534351145038167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90%	1.0	0.5967777777777779	0.507875	0.7014285714285714	2.8989999999999996	0.0	0.0	0.0	7.0	1.0	0.040697674418604654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95%	1.0	0.6222857142857142	0.53325	0.7266348214285713	2.988	0.0	0.0	0.0	9.0	1.0	0.046948356807511735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99%	1.0	0.6704999999999999	0.5816666666666667	0.7728289393939392	3.1511699095022623	0.0	0.0	0.0	11.0	1.0	0.057803468208092484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
